Year,Stratum,SU,Moose_Intensive,Moose_Standard,Park
2020,Low,6,0,0,N
2020,Low,171,0,0,Y
2020,High,200,0,0,Y
2020,High,234,8,8,Y
2020,Medium,274,4,4,Y
2020,Medium,294,2,1,Y
2020,Low,308,0,0,Y
2020,High,312,12,12,Y
2020,Medium,332,4,4,Y
2020,High,335,7,5,Y
2020,Low,376,3,2,N
2020,Medium,417,7,6,N
2020,Medium,421,0,0,N
2020,Medium,440,0,0,N
2020,Low,507,0,0,N
2020,Low,518,1,0,N
2020,Medium,522,1,0,N
2020,Low,683,0,0,N
2020,Low,685,0,0,N
2020,Low,874,0,0,N
2020,Medium,42,2,0,N
2020,High,224,3,3,Y
2020,High,249,0,0,Y
2020,Low,256,3,3,Y
2020,Low,304,0,0,Y
2020,High,313,16,16,Y
2020,Medium,362,5,5,N
2020,High,408,5,3,N
2020,Medium,630,3,3,N
2020,Low,766,0,0,N
2020,Medium,47,1,0,N
2020,High,356,7,5,Y
2020,Medium,377,2,2,Y
2020,Medium,412,5,4,N
2020,Medium,418,2,2,N
2020,Low,500,0,0,N
2020,Medium,794,0,0,N
2020,Low,837,2,1,N
2020,Low,169,1,0,Y
